,Unnamed: 0,wise_designation,ps_ra,ps_dec,zPSFStackMag,highz_prob,qso_prob,Mstar_prob,predicted_redshift,spectroscopic_redshift,known_quasar,photometric_follow_up,observed,still_to_observe
135,135,J114338.32+380828.4,175.90970617099998,38.1413305722,20.129496,0.873204680364,0.873204680364,0.0839240423911,5.82558519048,5.81,True,False,False,False
136,136,J130152.55+221011.3,195.469008103,22.1700525796,19.520891,0.959539731777,0.9854133651000001,0.013524395083700002,4.83357446674,4.8288,True,False,False,False
137,137,J131234.08+230716.3,198.142000644,23.1211849042,19.09084,0.94927818956,0.969551720637,0.0304482793626,4.93041096626,4.891,True,False,False,False
138,138,J012053.91+214707.1,20.224663994500002,21.785122994899996,20.21152,0.923092854149,0.946305984235,0.0536940157651,5.132283516459999,5.46,True,False,False,False
139,139,J115922.23+262915.6,179.842516907,26.487618585,19.640810000000002,0.9966666666670001,1.0,0.0,4.87410251675,4.88,True,False,False,False
140,140,J071228.99+550341.2,108.120726821,55.061505269499996,20.026964000000003,0.9526403153849999,0.9831749659639999,0.0168250340361,4.98663950832,,False,False,False,True
141,141,J085556.92+653212.0,133.987160377,65.5367048088,19.135891,0.913240559481,0.931024719783,0.0689752802169,5.23481738852,,False,False,False,True
142,142,J235713.07+371232.6,359.30435543,37.209123642600005,19.24127,0.951569341154,0.99,0.01,4.91390592702,,False,False,False,True
143,143,J162626.49+275132.4,246.610431146,27.8590205995,18.681936,0.82622961889,0.882222591416,0.10444407525,5.16865197709,5.16,True,False,False,False
144,144,J124510.10+434837.9,191.292162855,43.810557343199996,19.920244,0.968008377932,0.999767961055,0.00023203894450099996,4.84249846071,4.82,True,False,False,False
145,145,J122804.23+455127.9,187.017678846,45.8577068073,20.4099,0.824794537433,0.8653412919429999,0.111108324876,5.11087683333,,False,False,False,True
146,146,J104258.76+001642.3,160.74481868200002,0.27883618467300003,20.384626,0.819012587711,0.873568645763,0.126431354237,5.104606099750001,,False,False,False,True
147,147,J104433.03-012502.1,161.137664521,-1.41724748189,19.372920999999998,0.919647393073,0.947462878667,0.052497011330199995,5.7891203333300005,5.8,True,False,False,False
148,148,J011831.93+183551.1,19.6330412627,18.5976838791,19.641861,0.874970694649,0.966637982119,0.033362017880599996,4.91879072584,,False,False,False,True
149,149,J225257.44+204625.4,343.239394475,20.7736717029,19.36936,0.9183137148280001,0.989566124888,0.0104338751121,4.88001721976,4.91,True,False,False,False
150,150,J222736.53-131554.4,336.902344188,-13.265151778,19.389177,0.8108753723250001,0.9442625674740001,0.0557374325261,4.83685183276,,False,False,False,True
151,151,J000112.47+310608.2,0.30196426127099996,31.1021440235,20.116638000000002,0.956652278425,0.9894459216399999,0.010554078359499999,4.82848427079,,False,False,False,True
152,152,J000311.24+330842.7,0.796869490003,33.1454069464,19.924166,0.972274466156,0.9899154023450001,0.0100845976546,5.0359524783800005,,False,False,False,True
153,153,J114826.16+302018.8,177.10903651200005,30.338705279699997,19.766706,0.895762210834,0.9066379821189999,0.0933620178806,5.058905617790001,5.129,True,False,False,False
154,154,J162045.63+520246.6,245.190150479,52.0462984452,18.875162,0.9782619150190001,0.989964786428,0.00673746417731,4.876171371580001,4.79,True,False,False,False
155,155,J162100.94+515548.8,245.253823409,51.930223076400004,20.083914,0.808283113722,0.8948422879410001,0.0648449661441,5.740635,5.71,True,False,False,False
156,156,J102622.84+471906.9,156.59526479299998,47.3186592842,18.62799,0.983247769161,0.999914435828,8.55641719363e-05,4.89876135932,4.93,True,False,False,False
157,157,J141111.28+121737.4,212.79700162,12.293693469,19.580423,0.9527913325740001,0.9866187487479999,0.00338125125223,5.97091,5.93,True,False,False,False
158,158,J064133.77+592544.3,100.391494505,59.4288831983,20.385038,0.8462592332790001,0.865825358167,0.130841308499,5.21943793417,,False,False,False,True
159,159,J090706.06-031930.1,136.775488357,-3.3251860890900002,20.403006,0.894782404174,0.945959362689,0.0540406373113,4.93262290882,,False,False,False,True
